tokens,ner_tags
"[""#"", ""#"", ""1"", ""2"", ""3""]","[""answers-20111108092029AAsHTYP_ans-0026"", ""wishes,"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3""]","[""answers-20111108092029AAsHTYP_ans-0027"", ""Jamie/RhodeRunner"", ""stephen"", ""-"", ""-""]"
"[""#"", ""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","[""answers-20111108092321AAK0Eqp_ans"", ""answers-20111108092321AAK0Eqp_ans-0001"", ""canada?"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]","[""answers-20111108092321AAK0Eqp_ans-0002"", ""canada?"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4""]","[""answers-20111108092321AAK0Eqp_ans-0003"", ""forms"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092321AAK0Eqp_ans-0004"", ""birth."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32""]","[""answers-20111108092321AAK0Eqp_ans-0005"", ""office."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]","[""answers-20111108092321AAK0Eqp_ans-0006"", ""cities."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092321AAK0Eqp_ans-0007"", ""hospital."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092321AAK0Eqp_ans-0008"", ""Ontario...."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35""]","[""answers-20111108092321AAK0Eqp_ans-0009"", ""days."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22""]","[""answers-20111108092321AAK0Eqp_ans-0010"", ""registered."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53""]","[""answers-20111108092321AAK0Eqp_ans-0011"", ""certificate."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24""]","[""answers-20111108092321AAK0Eqp_ans-0012"", ""computer."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21""]","[""answers-20111108092321AAK0Eqp_ans-0013"", ""back."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19""]","[""answers-20111108092321AAK0Eqp_ans-0014"", ""provinces/territories."", ""-"", ""-"", ""-"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25""]","[""answers-20111108092321AAK0Eqp_ans-0015"", ""doctor...."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21""]","[""answers-20111108092321AAK0Eqp_ans-0016"", ""identity."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24""]","[""answers-20111108092321AAK0Eqp_ans-0017"", ""certificate."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092321AAK0Eqp_ans-0018"", ""on-line."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092321AAK0Eqp_ans-0019"", ""Ontario."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""-""]"
"[""#"", ""#"", ""1""]","[""answers-20111108092321AAK0Eqp_ans-0020"", ""http://www.ontario.ca/en/information_bundle/birthcertificates/119274.html"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092321AAK0Eqp_ans-0021"", ""here."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1""]","[""answers-20111108092321AAK0Eqp_ans-0022"", ""http://www.ontario.ca/en/information_bundle/birthcertificates/119275.html"", ""-""]"
"[""#"", ""#"", ""1"", ""2""]","[""answers-20111108092321AAK0Eqp_ans-0023"", ""luck"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]","[""answers-20111108092321AAK0Eqp_ans-0024"", ""employment."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16""]","[""answers-20111108092321AAK0Eqp_ans-0025"", ""place."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35""]","[""answers-20111108092321AAK0Eqp_ans-0026"", ""parents."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19""]","[""answers-20111108092321AAK0Eqp_ans-0027"", ""hospital."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""stephen"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15""]","[""answers-20111108092321AAK0Eqp_ans-0028"", ""time."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25""]","[""answers-20111108092321AAK0Eqp_ans-0029"", ""it."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]","[""answers-20111108092643AAXe4lD_ans"", ""answers-20111108092643AAXe4lD_ans-0001"", ""better?"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""59"", ""60"", ""61"", ""62"", ""63"", ""64"", ""65"", ""66"", ""67""]","[""answers-20111108092643AAXe4lD_ans-0002"", ""!"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4""]","[""answers-20111108092643AAXe4lD_ans-0003"", ""me!"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092643AAXe4lD_ans-0004"", ""thx!!!!!!"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3""]","[""answers-20111108092643AAXe4lD_ans-0005"", ""there,"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""answers-20111108092643AAXe4lD_ans-0006"", ""parakeet..."", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""answers-20111108092643AAXe4lD_ans-0007"", ""reason....."", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]","[""answers-20111108092643AAXe4lD_ans-0008"", ""christmas."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12""]","[""answers-20111108092643AAXe4lD_ans-0009"", ""christmas."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092643AAXe4lD_ans-0010"", ""all."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092643AAXe4lD_ans-0011"", ""business."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]","[""answers-20111108092643AAXe4lD_ans-0012"", ""them."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13""]","[""answers-20111108092643AAXe4lD_ans-0013"", ""them."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","[""answers-20111108092643AAXe4lD_ans-0014"", ""tamed."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092643AAXe4lD_ans-0015"", ""touched."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12""]","[""answers-20111108092643AAXe4lD_ans-0016"", ""tricks."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092643AAXe4lD_ans-0017"", ""well."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]","[""answers-20111108092643AAXe4lD_ans-0018"", ""parakeets/budgies."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092643AAXe4lD_ans-0019"", ""personality."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4""]","[""answers-20111108092643AAXe4lD_ans-0020"", ""them."", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]","[""answers-20111108092643AAXe4lD_ans-0021"", ""tame."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]","[""answers-20111108092643AAXe4lD_ans-0022"", ""days."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092643AAXe4lD_ans-0023"", ""messy."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6""]","[""answers-20111108092643AAXe4lD_ans-0024"", ""them."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""]","[""answers-20111108092643AAXe4lD_ans-0025"", ""them."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092643AAXe4lD_ans-0026"", ""family."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092643AAXe4lD_ans-0027"", ""decision."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092643AAXe4lD_ans-0028"", ""level."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10""]","[""answers-20111108092643AAXe4lD_ans-0029"", ""one."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58""]","[""answers-20111108092643AAXe4lD_ans-0030"", ""eyes)."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24""]","[""answers-20111108092643AAXe4lD_ans-0031"", ""bird."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]","[""answers-20111108092643AAXe4lD_ans-0032"", ""older."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13""]","[""answers-20111108092643AAXe4lD_ans-0033"", ""feathers."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19""]","[""answers-20111108092643AAXe4lD_ans-0034"", ""blue."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]","[""answers-20111108092643AAXe4lD_ans-0035"", ""brown."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]","[""answers-20111108092643AAXe4lD_ans-0036"", ""parakeets."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13""]","[""answers-20111108092643AAXe4lD_ans-0037"", ""males."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6""]","[""answers-20111108092643AAXe4lD_ans-0038"", ""females."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28""]","[""answers-20111108092643AAXe4lD_ans-0039"", ""lot."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12""]","[""answers-20111108092643AAXe4lD_ans-0040"", ""boy."", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-"", ""-""]"
"[""#"", ""#"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""answers-20111108092643AAXe4lD_ans-0041"", ""best!"", ""-"", ""-"", ""-"", ""-"", ""-""]"
